Pontuation ID,Total Points,Média do Dividend Yield nos últimos 5 anos > 0.06 (5%),Mediana do Dividend Yield nos últimos 5 anos > 0.06 (5%),Dividend Yield Atual > 0.06 (6%),Dívida Bruta/Patrimônio < 0.5 (50%),Pagamento constante de dividendos nos últimos 5 anos,Dividendos crescentes nos últimos 5 anos,0 < Payout < 1,Preço Atual < Preço Máximo,Segmento válido
EEEL3,-2,2,-1,-1,-1,-1,-1,-1,1,0
VLID3,-2,2,2,-1,-1,-1,-1,1,1,-4
PINE3,5,2,-1,-1,2,-1,1,1,1,0
CSRN3,5,2,2,-1,-1,1,-1,1,1,0
LIGT3,0,2,-1,-1,-1,-1,1,-1,1,0
CSRN5,5,2,2,-1,-1,1,-1,1,1,0
ITSA4,11,2,2,2,2,1,-1,1,1,0
FESA4,8,2,2,2,2,1,1,1,1,-4
TUPY3,0,2,2,-1,-1,-1,1,1,1,-4
LAVV3,6,2,2,2,2,-1,1,1,1,-4
DXCO3,-4,2,2,-1,-1,-1,-1,-1,1,-4
GETT3,-2,2,-1,-1,2,-1,1,-1,1,-4
GETT4,-2,2,-1,-1,2,-1,1,-1,1,-4
MRSA3B,-2,2,2,-1,-1,-1,1,-1,1,-4
MRSA5B,-2,2,2,-1,-1,-1,1,-1,1,-4
GEPA4,6,2,2,-1,2,1,-1,-1,1,0
UNIP6,3,2,2,-1,2,1,-1,1,1,-4
GEPA3,6,2,2,-1,2,1,-1,-1,1,0
NTCO3,-2,2,-1,-1,2,-1,1,-1,1,-4
WIZC3,-4,2,2,-1,-1,-1,-1,-1,1,-4
CPRE3,-2,-1,-1,-1,2,-1,1,-1,-1,0
ITUB3,11,2,2,2,2,1,-1,1,1,0
BBSE3,11,2,2,2,2,1,-1,1,1,0
SOJA3,3,2,2,-1,2,-1,1,1,1,-4
EQPA3,5,2,2,-1,-1,1,1,-1,1,0
PRIO3,-3,2,-1,-1,-1,-1,1,1,1,-4
CSUD3,3,2,2,-1,2,1,-1,1,1,-4
PLPL3,-2,2,2,-1,-1,-1,1,-1,1,-4
MELK3,6,2,2,2,2,-1,1,1,1,-4
PSSA3,11,2,2,2,2,1,-1,1,1,0
BGIP4,6,2,2,-1,2,1,-1,-1,1,0
CYRE3,0,2,2,-1,-1,1,-1,1,1,-4
